Date,Price,Open,High,Low,Change %
18/03/2003,3747.30,3722.30,3810.80,3714.00,0.67
17/03/2003,3722.30,3601.80,3774.30,3525.30,3.35
14/03/2003,3601.80,3486.90,3612.90,3486.90,3.30
13/03/2003,3486.90,3287.00,3489.10,3287.00,6.08
12/03/2003,3287.00,3452.70,3466.40,3277.50,-4.80
11/03/2003,3452.70,3436.00,3468.50,3400.30,0.49
10/03/2003,3436.00,3491.60,3502.40,3434.50,-1.59
07/03/2003,3491.60,3555.40,3555.40,3467.20,-1.79
06/03/2003,3555.40,3563.50,3590.30,3526.10,-0.23
05/03/2003,3563.50,3625.30,3625.30,3558.80,-1.70
04/03/2003,3625.30,3684.70,3684.70,3612.60,-1.61
03/03/2003,3684.70,3655.60,3714.90,3640.80,0.80
28/02/2003,3655.60,3569.90,3655.60,3553.60,2.40
27/02/2003,3569.90,3593.30,3627.40,3535.10,-0.65
26/02/2003,3593.30,3621.50,3652.00,3558.80,-0.78
25/02/2003,3621.50,3701.80,3701.80,3592.10,-2.17
24/02/2003,3701.80,3727.10,3746.50,3699.80,-0.68
21/02/2003,3727.10,3687.20,3727.10,3660.20,1.08
20/02/2003,3687.20,3658.30,3724.70,3655.80,0.79
19/02/2003,3658.30,3729.50,3738.50,3657.90,-1.91
18/02/2003,3729.50,3692.40,3747.00,3669.60,1.00
17/02/2003,3692.40,3611.90,3692.40,3611.90,2.23
14/02/2003,3611.90,3610.80,3683.60,3601.50,0.03
13/02/2003,3610.80,3616.10,3640.70,3568.70,-0.15
12/02/2003,3616.10,3669.20,3669.20,3613.30,-1.45
11/02/2003,3669.20,3579.10,3675.00,3579.10,2.52
10/02/2003,3579.10,3599.20,3626.40,3568.10,-0.56
07/02/2003,3599.20,3597.00,3639.10,3568.40,0.06
06/02/2003,3597.00,3678.70,3689.70,3563.90,-2.22
05/02/2003,3678.70,3590.10,3678.70,3569.00,2.47
04/02/2003,3590.10,3689.40,3689.40,3590.10,-2.69
03/02/2003,3689.40,3567.40,3698.90,3567.40,3.42
31/01/2003,3567.40,3578.70,3580.50,3510.60,-0.32
30/01/2003,3578.70,3483.80,3579.60,3483.80,2.72
29/01/2003,3483.80,3490.00,3493.70,3391.50,-0.18
28/01/2003,3490.00,3480.80,3538.50,3464.10,0.26
27/01/2003,3480.80,3603.70,3603.70,3460.30,-3.41
24/01/2003,3603.70,3622.20,3665.20,3583.70,-0.51
23/01/2003,3622.20,3678.00,3721.70,3622.20,-1.52
